alpha2,2015,2016,2017,2018,2019,2020,2021
TV,1.5543142683952336e-06,1.561317017260397e-06,1.506888390535985e-06,1.4727979571206416e-06,1.464861199645083e-06,1.464861199645083e-06,1.464861199645083e-06
TZ,0.003376897302453575,0.002084948200017012,0.0036724271868098365,0.003653634819926385,0.0036984563578011023,0.0036984563578011023,0.0036984563578011023
UG,0.0022358899650936153,0.0026220913653599216,0.0026222937426820477,0.0026282448127140138,0.0026766067633393806,0.0026766067633393806,0.0026766067633393806
UA,0.007239286228049529,0.007210967719771038,0.007094636114846702,0.006819101615649825,0.006666336006086851,0.006666336006086851,0.006666336006086851
UY,0.0007225592124546213,0.0006873511116442467,0.0006305781635816965,0.0006111638648541758,0.0006793782706338789,0.0006793782706338789,0.0006793782706338789
US,0.07839897235471929,0.0835170700939109,0.07621178402664171,0.07397982641781495,0.07305467822654538,0.07305467822654538,0.07305467822654538
UZ,0.004393391959900251,0.004505115958967421,0.004552487237490212,0.004473166569801611,0.004479656638278813,0.004479656638278813,0.004479656638278813
VC,6.132724993563876e-06,6.846355305886961e-06,6.4942529795419906e-06,6.4046251442308455e-06,6.3162747760226174e-06,6.3162747760226174e-06,6.3162747760226174e-06
VE,0.006314098019219473,0.005413773119054883,0.00568657341617729,0.005394080649613268,0.005236367155650406,0.005236367155650406,0.005236367155650406
VG,3.5948709752843845e-06,6.895582998988298e-06,6.176062723502722e-06,6.0093248922605815e-06,5.951301828088455e-06,5.951301828088455e-06,5.951301828088455e-06
VI,1.9371955018502e-05,1.937383780961947e-05,1.85573865877668e-05,1.787144808876887e-05,1.750770344205965e-05,1.750770344205965e-05,1.750770344205965e-05
VN,0.0136776644246865,0.015003459775856829,0.014779620125323821,0.017441502185880472,0.0169014929435812,0.0169014929435812,0.0169014929435812
VU,1.9875104106379017e-05,2.0194417144339257e-05,1.973337801635402e-05,1.953421013867999e-05,1.967114219540855e-05,1.967114219540855e-05,1.967114219540855e-05
WS,1.612466277512668e-05,1.7297284893637202e-05,1.7644547605621946e-05,1.7106430287785053e-05,1.6895527194211636e-05,1.6895527194211636e-05,1.6895527194211636e-05
YE,0.0020931109377561414,0.0020187792426487865,0.0019985333709292476,0.0019759252939822824,0.0019871844649759452,0.0019871844649759452,0.0019871844649759452
ZA,0.009430986907613107,0.00917525985809022,0.008603499482168606,0.00842159280519822,0.008388496941778253,0.008388496941778253,0.008388496941778253
ZM,0.0010936526865645319,0.0012617956323606628,0.001261459222621773,0.0006438969133054932,0.0006514095621878788,0.0006514095621878788,0.0006514095621878788
ZW,0.0010304104767250276,0.0009806581333356614,0.0010350916253532708,0.0010137443435023466,0.0010105793287502214,0.0010105793287502214,0.0010105793287502214
